"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C18,C15,C17";"C_0402_1005Metric_small_pads";3;"100n";;;
2;"C2,C3";"C_0402_1005Metric";2;"15p";;;
3;"R5";"R_0402_1005Metric";1;"33R";;;
4;"U2";"DBV0006A-MFG";1;"LMR50410Y3FQDBVRQ1";;;
5;"U1";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
6;"J3";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"SM03B-SRSS-TB";;;
7;"C13,C20,C4,C6,C19,C9,C12,C16,C14";"C_0402_1005Metric";9;"100n";;;
8;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
9;"C7,C11,C5,C10";"C_0402_1005Metric_small_pads";4;"4u7";;;
10;"L2";"L_pol_2016";1;"3u3";;;
11;"R4,R3,R2";"R_0402_1005Metric";3;"1K";;;
12;"C1";"C_1206_3216Metric";1;"2u2";;;
13;"U3";"RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350_60QFN";;;
14;"J5";"JST_EH_S4B-EH_1x04_P2.50mm_Horizontal";1;"Bus Out";;;
15;"L1";"L_pol_2016";1;"3.3u";;;
16;"SW1";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";1;"SW_Push";;;
17;"J1";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";1;"Conn_01x02_Pin";;;
18;"R7";"R_0402_1005Metric";1;"120R";;;
19;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MAX3078E";;;
20;"R1,R6";"R_0402_1005Metric";2;"10K";;;
21;"C8";"C_0402_1005Metric";1;"10u";;;
