Comment,Designator,Footprint,LCSC,Quantity
100n,C18,C_0402_1005Metric_small_pads,,1
15p,C2,C_0402_1005Metric,,1
33R,R5,R_0402_1005Metric,,1
LMR50410Y3FQDBVRQ1,U2,DBV0006A-MFG,,1
W25Q128JVS,U1,SOIC-8_5.3x5.3mm_P1.27mm,,1
SM03B-SRSS-TB,J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,,1
100n,C13,C_0402_1005Metric,,1
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
4u7,C7,C_0402_1005Metric_small_pads,,1
100n,C15,C_0402_1005Metric_small_pads,,1
3u3,L2,L_pol_2016,,1
100n,C20,C_0402_1005Metric,,1
100n,C4,C_0402_1005Metric,,1
4u7,C11,C_0402_1005Metric_small_pads,,1
1K,R4,R_0402_1005Metric,,1
100n,C6,C_0402_1005Metric,,1
100n,C19,C_0402_1005Metric,,1
2u2,C1,C_1206_3216Metric,,1
100n,C9,C_0402_1005Metric,,1
100n,C12,C_0402_1005Metric,,1
RP2350_60QFN,U3,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,,1
4u7,C5,C_0402_1005Metric_small_pads,,1
1K,R3,R_0402_1005Metric,,1
Bus Out,J5,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,,1
100n,C16,C_0402_1005Metric,,1
3.3u,L1,L_pol_2016,,1
100n,C17,C_0402_1005Metric_small_pads,,1
1K,R2,R_0402_1005Metric,,1
SW_Push,SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,,1
15p,C3,C_0402_1005Metric,,1
Conn_01x02_Pin,J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,,1
100n,C14,C_0402_1005Metric,,1
120R,R7,R_0402_1005Metric,,1
4u7,C10,C_0402_1005Metric_small_pads,,1
MAX3078E,U4,SOIC-8_3.9x4.9mm_P1.27mm,,1
10K,R1,R_0402_1005Metric,,1
10K,R6,R_0402_1005Metric,,1
10u,C8,C_0402_1005Metric,,1
