Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,2u2,C307419
"C10, C11, C5, C7",0402,4,4u7,C2932473
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C4, C6, C9",0402,12,100n,C307419
"C2, C3",0402,2,15p,C326803
C8,0402,1,10u,C76991
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,C431092
J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160403
J5,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Bus Out,C265068
L1,L_pol_2016,1,3.3u,C42411119
L2,L_pol_2016,1,3u3,C42411119
R1,0402,1,10K,C190095
R2,0402,1,1K,C852624
"R3, R4",0402,2,1K,C106235
R5,0402,1,33R,C138002
R6,0402,1,10K,C60490
R7,0402,1,120R,C114758
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,C22375314
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C113767
U2,DBV0006A-MFG,1,LMR50410Y3FQDBVRQ1,C5219374
U3,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3078E,C2671519
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
