Designator,Mid X,Mid Y,Rotation,Layer
C1,24.384,-35.433,270.0,top
C10,26.035,-41.529,0.0,top
C11,22.225,-51.181,270.0,top
C12,17.145,-45.339,180.0,top
C13,22.606,-41.021,90.0,top
C14,27.432,-45.085,0.0,top
C15,25.753,-51.181,270.0,top
C16,17.653,-43.434,270.0,top
C17,17.145,-47.117,180.0,top
C18,20.701,-51.181,270.0,top
C19,27.432,-41.021,270.0,top
C2,19.05,-54.229,270.0,top
C20,25.4,-61.722,0.0,top
C3,23.241,-54.074,270.0,top
C4,17.399,-31.75,90.0,top
C5,24.257,-41.529,0.0,top
C6,22.733,-35.433,270.0,top
C7,24.257,-40.64,0.0,top
C8,28.321,-41.021,270.0,top
C9,27.432,-44.196,0.0,top
J1,22.9,-26.005,0.0,top
J3,26.924,-54.864,90.0,top
J5,22.86,-64.1425,180.0,top
L1,27.432,-38.862,0.0,top
L2,24.257,-39.116,0.0,top
R1,27.432,-42.418,180.0,top
R2,27.432,-43.307,0.0,top
R3,23.241,-52.197,270.0,top
R4,28.702,-44.704,90.0,top
R5,26.035,-40.64,180.0,top
R6,17.145,-46.228,180.0,top
R7,23.749,-59.182,270.0,top
SW1,28.067,-48.684,270.0,top
U1,19.304,-37.338,0.0,top
U2,27.178,-35.433,90.0,top
U3,22.225,-46.101,0.0,top
U4,19.558,-59.182,270.0,top
Y1,21.082,-54.229,270.0,top
